Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
14745,LUCILE,181,0.0497237569060773,0.116022099447514,0.226519337016575,0.298342541436464,0.30939226519337,1,0,0,0,0,0,0
14746,LUCILIA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
14747,LUCILIANE,2,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14748,LUCILIEN,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14749,LUCILLE,42,0.0476190476190476,0.238095238095238,0.166666666666667,0.285714285714286,0.261904761904762,1,0,0,0,0,0,0
14750,LUCILOU,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14751,LUCINDA,5,0.4,0.0,0.4,0.0,0.2,0,0,0,1,0,0,0
14752,LUCINE,4,0.0,0.5,0.0,0.25,0.25,0,0,1,0,0,0,0
14753,LUCIO,4,0.5,0.25,0.25,0.0,0.0,0,0,0,1,0,0,0
14754,LUCIUS,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
14755,LUCJAN,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
14756,LUCK,2,0.5,0.0,0.0,0.0,0.5,0,0,0,1,0,0,0
14757,LUCKA,6,0.0,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,1,0,0,0
14758,LUCKAS,4,0.25,0.25,0.5,0.0,0.0,0,0,0,1,0,0,0
14759,LUCON,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14760,LUCREZIA,1,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0
14761,LUCRÈCE,1,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0
14762,LUCY,58,0.137931034482759,0.224137931034483,0.275862068965517,0.189655172413793,0.172413793103448,0,0,0,1,0,0,0
14763,LUCYAN,3,0.0,0.333333333333333,0.333333333333333,0.333333333333333,0.0,0,0,1,0,0,0,0
14764,LUCYE,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14765,LUCYLE,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0
